t_id,r_id,ratersex,rater_formidability,rater_grip_strength,rater_height,rater_weight,rater_age,strength_rating,target_strength_ave,t_height,t_measured_strength,t_age,t_weight
3,3,0,2.777777778,81.9,5.09,138,18,3,3.896174863,69,0.7246221,19,172.6
3,4,1,2.222222222,57.6,5.02,109,18,5,3.896174863,69,0.7246221,19,172.6
3,5,1,2.888888889,69,5.03,180,32,4,3.896174863,69,0.7246221,19,172.6
3,6,1,3,74.6,5.02,153,18,4,3.896174863,69,0.7246221,19,172.6
3,7,0,1.777777778,70,5.11,150,18,5,3.896174863,69,0.7246221,19,172.6
3,8,1,1.666666667,53.3,5.02,110,18,4,3.896174863,69,0.7246221,19,172.6
3,9,1,2.111111111,51.6,5.08,150,18,4,3.896174863,69,0.7246221,19,172.6
3,10,1,2.111111111,65.6,5.04,130,18,5,3.896174863,69,0.7246221,19,172.6
3,11,1,2.777777778,66.1,5.08,150,18,5,3.896174863,69,0.7246221,19,172.6
3,12,1,1.777777778,57.6,5.04,120,18,6,3.896174863,69,0.7246221,19,172.6
3,13,1,1.555555556,37.4,5.07,145,18,4,3.896174863,69,0.7246221,19,172.6
3,14,1,3,57.4,5.03,99.29,21,5,3.896174863,69,0.7246221,19,172.6
3,15,1,3,67.6,5,120,21,2,3.896174863,69,0.7246221,19,172.6
3,16,1,3.333333333,65,5.03,170,18,2,3.896174863,69,0.7246221,19,172.6
3,17,1,3.111111111,73.1,5.07,175,18,4,3.896174863,69,0.7246221,19,172.6
3,18,1,2.333333333,38.4,5.05,115,19,2,3.896174863,69,0.7246221,19,172.6
3,19,1,2.333333333,60.3,5,107,18,3,3.896174863,69,0.7246221,19,172.6
3,20,1,2.333333333,63.6,5.02,121,20,5,3.896174863,69,0.7246221,19,172.6
3,21,1,1.777777778,49.8,5.03,155,18,4,3.896174863,69,0.7246221,19,172.6
3,22,1,2.333333333,44.7,5.05,155,18,4,3.896174863,69,0.7246221,19,172.6
3,23,1,2.222222222,54.3,5.01,110,18,4,3.896174863,69,0.7246221,19,172.6
3,24,0,3.333333333,71.3,5.07,150,18,3,3.896174863,69,0.7246221,19,172.6
3,25,1,3.666666667,70.7,5.05,148,20,3,3.896174863,69,0.7246221,19,172.6
3,26,0,3.333333333,132.5,6.02,205,19,3,3.896174863,69,0.7246221,19,172.6
3,27,1,3,87.3,5.02,170,18,4,3.896174863,69,0.7246221,19,172.6
3,28,0,2,96.5,5.1,169,18,3,3.896174863,69,0.7246221,19,172.6
3,29,1,1.777777778,50.2,5,100,19,4,3.896174863,69,0.7246221,19,172.6
3,30,1,3.888888889,86.3,5.08,230,22,5,3.896174863,69,0.7246221,19,172.6
3,31,1,2.444444444,44.4,5.4,114,18,4,3.896174863,69,0.7246221,19,172.6
3,32,1,3.333333333,77.6,5.07,171,23,4,3.896174863,69,0.7246221,19,172.6
3,33,0,3.222222222,85.2,5.07,135,19,3,3.896174863,69,0.7246221,19,172.6
3,34,1,1.888888889,57.3,5.03,136,18,5,3.896174863,69,0.7246221,19,172.6
3,35,0,4,98.4,5.1,175,22,5,3.896174863,69,0.7246221,19,172.6
3,36,0,2.666666667,108.7,6.02,220,18,4,3.896174863,69,0.7246221,19,172.6
3,37,0,2.888888889,104,6,164,30,4,3.896174863,69,0.7246221,19,172.6
3,38,0,3.333333333,87.4,5.08,155,18,3,3.896174863,69,0.7246221,19,172.6
3,39,0,2.888888889,112.5,5.08,285,23,4,3.896174863,69,0.7246221,19,172.6
3,40,0,2.555555556,85.4,6,180,25,3,3.896174863,69,0.7246221,19,172.6
